  ,fixed,confirmed,duplicated,unconfirmed,won't fix,status,symptom,short desc,long desc,reported to,,our version
clang++,,1,,,,confirmed,Segmentation fault,Clang frontend C++ crash with atomic constraints,"clang++: /root/llvm-project/clang/lib/AST/ASTContext.cpp:3442: 
clang::QualType clang::ASTContext::getLValueReferenceType(clang::QualType, bool) const: 
Assertion `(!T->isPlaceholderType() || T->isSpecificPlaceholderType(BuiltinType::UnknownAny)) && ""Unresolved placeholder type""' failed.)",https://github.com/llvm/llvm-project/issues/66612,,
clang++,,1,,,,confirmed,Segmentation fault,Clang frontend C++ crash with capture-default in concept,"clang++: /root/llvm-project/llvm/include/llvm/ADT/SmallVector.h:294: 
T& llvm::SmallVectorTemplateCommon<T, <template-parameter-1-2> >::operator[](llvm::SmallVectorTemplateCommon<T, <template-parameter-1-2> >::size_type) [with T = clang::sema::FunctionScopeInfo*; <template-parameter-1-2> = void; llvm::SmallVectorTemplateCommon<T, <template-parameter-1-2> >::reference = clang::sema::FunctionScopeInfo*&; llvm::SmallVectorTemplateCommon<T, <template-parameter-1-2> >::size_type = long unsigned int]: 
Assertion `idx < size()' failed.",https://github.com/llvm/llvm-project/issues/66614,,
clang++,1,1,,,,fixed,Segmentation fault,Clang frontend C++ crash with variadic templates in function args,"clang++: /root/llvm-project/llvm/include/llvm/Support/Casting.h:662: 
decltype(auto) llvm::dyn_cast(From*) [with To = clang::BinaryOperator; From = const clang::Stmt]: 
Assertion `detail::isPresent(Val) && ""dyn_cast on a non-existent value""' failed.",https://github.com/llvm/llvm-project/issues/67395,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2,18,9,0,0,27,,,,,,
